date,premise_code,item_code,price,premise,address,premise_type,state,district
2023-03-02,16482,1,9.39,PUSAT PERNIAGAAN MATAHARI SDN BHD,"1, JALAN PJS 2/18,TAMAN MAJU JAYA,46000 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-02,16482,2,10.39,PUSAT PERNIAGAAN MATAHARI SDN BHD,"1, JALAN PJS 2/18,TAMAN MAJU JAYA,46000 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-02,16483,1,9.4,PASAR LEMBAH SUBANG DAMANSARA,"PASAR PAGI LEMBAH SUBANG,TAMAN PUTRA DAMAI,47301 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-02,17168,1,9.3,MEGAH SUPERMARKET (BANTING),"LOT 931,JALAN SUASA,42700 BANTING, SELANGOR",Pasar Raya / Supermarket,Selangor,Kuala Langat
2023-03-02,17788,1,9.4,PASAR BATANG KALI,"JALAN BATANG KALI- HULU YAM,PEKAN BATANG KALI,44300 BATANG KALI, SELANGOR",Pasar Basah ,Selangor,Hulu Selangor
2023-03-02,17906,1,9.39,TF VL MART,"JALAN 6, TAMAN BERKAT,45300 SUNGAI BESAR, SELANGOR,",Pasar Raya / Supermarket,Selangor,Sabak Bernam
2023-03-02,18116,1,9.39,HERO MARKET KELANA JAYA,"119, JALAN SS 6/12,SS6,47301 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-02,18184,1,9.4,SUPER SEVEN CHERAS JAYA,"LOT.10, KAWASAN INDUSTRI JAYA,  JALAN CJ 3,KAWASAN PERINDUSTRIAN CHERAS JAYA, BATU 9,43200 CHERAS, SELANGOR",Pasar Raya / Supermarket,Selangor,Hulu Langat
2023-03-02,18185,1,9.39,ECONSAVE JALAN REKO,"PT 64442, PT 63029, PT63030-PT63051,JALAN REKO,43000 KAJANG, SELANGOR.",Pasar Raya / Supermarket,Selangor,Hulu Langat
2023-03-02,18192,1,9.39,MYDIN MART PADANG JAWA,"JALAN PADANG JAWA,SEKSYEN 16,41300 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Klang
2023-03-02,18193,1,8.69,TESCO EXTRA ARA DAMANSARA,"2, JALAN PJU 1A/3,ARA DAMANSARA,47301 PETALING JAYA, SELANGOR.",Hypermarket,Selangor,Petaling Jaya
2023-03-02,18319,1,9.39,ECONSAVE CASH & CARRY SDN. BHD. (BATANG KALI),"NO 1, LOT PT 6903,JALAN MAHAGONI 8, PEKAN BATANG KALI,44300 BATANG KALI, SELANGOR.",Hypermarket,Selangor,Hulu Selangor
2023-03-02,18328,1,9.4,QRS FRESH MART KKB,"LOT 385 DAN LOT 386,JALAN PAHANG,44000 KUALA KUBU BARU, SELANGOR",Pasar Raya / Supermarket,Selangor,Hulu Selangor
2023-03-02,18337,1,9.39,MYDIN TAMAN ANGGERIK,"LOT 21452, JLN ANGGERIK PERDANA 1,TAMAN ANGGERIK PERDANA,43500 SEMENYIH, SELANGOR",Pasar Raya / Supermarket,Selangor,Hulu Langat
2023-03-02,18347,1,9.39,BEST FRESH MART,"NO. 69,JALAN KILANG PADI,45500 TANJONG KARANG, SELANGOR",Pasar Raya / Supermarket,Selangor,Kuala Selangor
2023-03-02,18350,1,9.3,PASARAYA SEGI FRESH SEMENYIH,"PASARAYA SEGI FRESH SEMENYIH,43500 SEMENYIH, SELANGOR,",Pasar Raya / Supermarket,Selangor,Hulu Langat
2023-03-02,18471,1,9.39,ECONSAVE KIPMALL,"G21 & M19, KIPMALL,KOTA WARISAN,43900 SEPANG, SELANGOR",Pasar Raya / Supermarket,Selangor,Sepang
2023-03-02,18480,1,9.4,SEGI CASH & CARRY SDN BHD (GOMBAK),"NO. 9-G & 10-G, JALAN BATU CAVES,TAMAN BATU CAVES,68100 BATU CAVES, SELANGOR",Pasar Raya / Supermarket,Selangor,Gombak
2023-03-02,20722,1,9.4,PASAR SUNTEX,"JALAN CHERAS,CHERAS,",Pasar Basah ,Selangor,Hulu Langat
2023-03-02,20723,1,9.39,GIANT SUPERSTORE PRIMA SAUJANA,"502, PUSAT BANDAR BARU KAJANG,PRIMA SAUJANA,KAJANG",Hypermarket,Selangor,Hulu Langat
2023-03-02,20723,2,10.4,GIANT SUPERSTORE PRIMA SAUJANA,"502, PUSAT BANDAR BARU KAJANG,PRIMA SAUJANA,KAJANG",Hypermarket,Selangor,Hulu Langat
2023-03-02,20724,1,9.4,PASAR AWAM RASA (RASA MARKET),"KAMPUNG CHUANG,RASA,",Pasar Basah ,Selangor,Hulu Selangor
2023-03-02,20725,1,9.4,BS FRESHMART PETALING JAYA,"JALAN PJS 6/6B, PJS 6,PETALING JAYA,",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-02,20726,1,8.69,LOTUS'S STORES BUKIT BERUNTUNG,"NO.1 JALAN ORKID 1,SEKSYEN BS 1,BANDAR BUKIT SENTOSA",Hypermarket,Selangor,Hulu Selangor
2023-03-02,20727,1,9.4,SEGI CASH & CARRY BUKIT SENTOSA,"NO.7-G, 9-G, 11-G,11A-G, JALAN BUNGA KERTAS 1C,PERNIAGAAN JALAN BUNGA KERTAS,BUKIT SENTOSA",Pasar Raya / Supermarket,Selangor,Hulu Selangor
2023-03-02,20728,1,9.4,SEGI CASH & CARRY TAMAN TANJAK,"NO.7 ,8 ,9 ,10 & 11,JALAN TANJAK, TAMAN TANJAK,KUALA KUBU BHARU",Pasar Raya / Supermarket,Selangor,Hulu Selangor
2023-03-02,20807,1,9.3,PASARAYA MEGAH DENGKIL,"1-11, JALAN PUTRA 2,TAMAN DESA DENGKIL,43800 DENGKIL, SELANGOR.",Pasar Raya / Supermarket,Selangor,Sepang
2023-03-02,20861,1,9.4,STAR GROCER SDN BHD,"NO 2, JALAN 20/16 PARAMOUNT GARDEN,46300 PETALING JAYA,",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-03,183,1,9.39,GIANT SUPERMARKET KELANA JAYA,"JALAN SS 6/3,PUSAT BANDAR KELANA JAYA,47301 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-03,330,1,9.19,TESCO SEKSYEN 13,"NO. 3,JALAN AEROBIK 13/43, SEKSYEN 13,40100 SHAH ALAM, SELANGOR",Hypermarket,Selangor,Petaling
2023-03-03,3041,1,9.39,PASARAYA ECONSAVE KAPAR SDN BHD,"14-22,JALAN RAJA MOKHTAR PEKAN KAPAR,44220 KAPAR, SELANGOR",Pasar Raya / Supermarket,Selangor,Klang
2023-03-03,3178,1,9.39,AEON BIG SUBANG JAYA,"NO 3 JALAN SS16/1,47500 SUBANG JAYA, SELANGOR DARUL EHSAN,",Hypermarket,Selangor,Petaling
2023-03-03,3302,1,9.4,PASAR SELAYANG BARU,"PASAR HARIAN SELAYANG BARU,JALAN BESAR SELAYANG BARU,68100 BATU CAVES, SELANGOR.",Pasar Basah ,Selangor,Gombak
2023-03-03,3318,1,9.4,GIANT BATU CAVES,"GCH RETAIL MALAYSIA SDN BHD (667035-P)LOT 10243,JALAN BATU CAVES, BANDAR SELAYANG, DAERAH GOMBAK,68100 SELANGOR",Hypermarket,Selangor,Gombak
2023-03-03,3399,1,9.4,PASAR BESAR JALAN OTHMAN,"JALAN OTHMAN,PJS 4,46000 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-03,3541,1,9.4,PASAR PAGI SRI GOMBAK,"JALAN 1, TAMAN SRI GOMBAK,68100 BATU CAVES, SELANGOR,",Pasar Basah ,Selangor,Gombak
2023-03-03,3558,1,9.4,PASAR AWAM PASIR PENAMBANG,"PEKAN PASIR PENAMBANG,45000 KUALA SELANGOR, SELANGOR,",Pasar Basah ,Selangor,Kuala Selangor
2023-03-03,3575,1,9.4,PASAR AWAM TANJUNG KARANG,"PASAR AWAM TANJUNG KARANG TANJUNG,45500 TANJUNG KARANG, SELANGOR,",Pasar Basah ,Selangor,Kuala Selangor
2023-03-03,3662,1,9.4,PASAR AWAM SG BESAR,"PASAR AWAM SG BESAR,45300 SG BESAR,SELANGOR,SG BESAR,",Pasar Basah ,Selangor,Sabak Bernam
2023-03-03,3692,1,9.4,PASAR SERI SETIA,"JALAN SS9A/1,SG WAY,47300 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-03,3901,1,8.69,LOTUSS STORES,"LOTUSS STORES (MALAYSIA) SDN.BHD. LOT 37820 & 11196,MUKIM KAJANG, SAUJANA IMPIAN,43000 KAJANG, SELANGOR DARUL EHSAN.",Hypermarket,Selangor,Hulu Langat
2023-03-03,3904,1,9.4,AEON BIG KAPAR,"NO. 2, JALAN HARMONI 3,KU3, SUNGAI PINANG,42100 KLANG,SELANGOR DARUL EHSAN",Hypermarket,Selangor,Klang
2023-03-03,3908,1,9.4,PASAR KAMPUNG MELAYU SUBANG,"KAMPUNG MELAYU SUBANG,PERSIARAN LAPANGAN TERBANG SULTAN ABDUL AZIZ SHAH,40000 SUBANG, SELANGOR",Pasar Basah ,Selangor,Petaling
2023-03-03,3909,1,8.69,TESCO SETIA ALAM,"NO. 2 JLN SETIA PRIMA U13/S ,40170 SHAH ALAM, SELANGOR DARUL EHSAN,",Hypermarket,Selangor,Klang
2023-03-03,4069,1,9.4,PASAR  BANGI,"PASAR BASAH BANGI,JALAN 1/1, SEKSYEN 1,43650 BANDAR BARU BANGI, SELANGOR",Pasar Basah ,Selangor,Hulu Langat
2023-03-03,4195,1,9.4,PASAR KAJANG,"PASAR KAJANG,BANDAR KAJANG,43000 KAJANG, SELANGOR",Pasar Basah ,Selangor,Hulu Langat
2023-03-03,4197,1,9.4,PASAR SEMENYIH,"PEKAN SEMENYIH,43500 SEMENYIH, SELANGOR,",Pasar Basah ,Selangor,Hulu Langat
2023-03-03,5179,1,9.39,MYDIN SELAYANG,"NO 10-16, JALAN SU/12,SELAYANG UTAMA,68100 BATU CAVES, SELANGOR.",Hypermarket,Selangor,Gombak
2023-03-03,5257,1,9.4,PASAR SEKSYEN 16,"PASAR SEKSYEN 16,40000 SHAH ALAM, SELANGOR,",Pasar Basah ,Selangor,Petaling
2023-03-03,5274,1,9.39,MYDIN USJ,"LOT 4,5,6,PERSIARAN PERPADUAN USJ 1,47600 SUBANG JAYA, SELANGOR",Hypermarket,Selangor,Petaling
2023-03-03,5274,2,10.4,MYDIN USJ,"LOT 4,5,6,PERSIARAN PERPADUAN USJ 1,47600 SUBANG JAYA, SELANGOR",Hypermarket,Selangor,Petaling
2023-03-03,5414,1,9.39,ECONSAVE KG MELAYU SUBANG,"LOT 3761, JALAN 2D,KG BARU SUBANG,40510 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
2023-03-03,5532,1,9.4,PASAR BESAR PELABUHAN KLANG,"JALAN SUNGAI AUR,KAWASAN 13,42000 PELABUHAN KLANG, SELANGOR",Pasar Basah ,Selangor,Klang
2023-03-03,5823,1,9.39,PASARAYA HERO SEK 13,"HERO SEKSYEN 13HERO DISTRIBUTION SDN.BHD (666770-U),NO 2, JALAN BADMINTON 13/29, SEKSYEN 13,40100 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
2023-03-03,5823,2,10.39,PASARAYA HERO SEK 13,"HERO SEKSYEN 13HERO DISTRIBUTION SDN.BHD (666770-U),NO 2, JALAN BADMINTON 13/29, SEKSYEN 13,40100 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
2023-03-03,5827,1,9.4,PASAR FAMA PUCHONG,"PASAR FAMA PUCHONG,BATU 13,47100 PUCHONG, SELANGOR",Pasar Basah ,Selangor,Petaling
2023-03-03,5895,1,9.29,GIANT SEKSYEN 13,"LOT 2,PERSIARAN SUKAN SEKSYEN 13,40100 SHAH ALAM, SELANGOR DARUL EHSAN.",Hypermarket,Selangor,Petaling
2023-03-03,5895,2,10.4,GIANT SEKSYEN 13,"LOT 2,PERSIARAN SUKAN SEKSYEN 13,40100 SHAH ALAM, SELANGOR DARUL EHSAN.",Hypermarket,Selangor,Petaling
2023-03-03,5980,2,10.4,PASAR SS 15 SUBANG JAYA,"SS 15,47500 SUBANG JAYA, SELANGOR,",Pasar Basah ,Selangor,Petaling
2023-03-03,6525,1,9.39,GIANT BUKIT TINGGI,"LOT 83191 & 8392,PERSIRAN BATU NILAM, BANDAR BUKIT TINGGI 1, JALAN LANGAT,41200 KLANG, SELANGOR DARUL EHSAN",Hypermarket,Selangor,Klang
2023-03-03,6525,2,10.39,GIANT BUKIT TINGGI,"LOT 83191 & 8392,PERSIRAN BATU NILAM, BANDAR BUKIT TINGGI 1, JALAN LANGAT,41200 KLANG, SELANGOR DARUL EHSAN",Hypermarket,Selangor,Klang
2023-03-03,6941,1,9.4,PASAR BASAH SEKSYEN 6,"PASAR SEKSYEN 6,SEKSYEN  6,40000 SHAH ALAM, SELANGOR",Pasar Basah ,Selangor,Petaling
2023-03-03,7040,1,8.69,TESCO BUKIT TINGGI,"NO. 1 BATU 2 1/2,JALAN LANGAT,41200 KLANG, SELANGOR",Hypermarket,Selangor,Klang
2023-03-03,7283,1,9.4,PASAR AWAM BANTING,"PASAR BANTING,PERSIARAN,42700 BANTING, SELANGOR",Pasar Basah ,Selangor,Kuala Langat
2023-03-03,7472,1,9.4,PASAR MERU KLANG,"JALAN MERU KLANG,40150 KLANG, SELANGOR,",Pasar Basah ,Selangor,Klang
2023-03-03,7473,1,9.4,PASAR BASAH KAPAR,"PEKAN KAPAR KLANG,42200 KAPAR, SELANGOR,",Pasar Basah ,Selangor,Klang
2023-03-03,8614,1,9.4,PASAR AWAM DENGKIL,"PEKAN DENGKIL,43800 DENGKIL, SELANGOR,",Pasar Basah ,Selangor,Sepang
2023-03-03,9214,1,9.39,GIANT HYPERMARKET KOTA DAMANSARA,"NO 16, JALAN PJU 5/1,KOTA DAMANSARA, PJU 5,47810 PETALING JAYA",Hypermarket,Selangor,Petaling Jaya
2023-03-03,9548,1,9.4,ONG THAI KIM (OTK),"C-01, 01, JALAN PRIMA 5/1,TAMAN PUCHONG PRIMA,47100 PUCHONG, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
2023-03-03,10203,1,9.39,ECONSAVE KOTA KEMUNING,"NO 2, PT 45233, JALAN SUNGAI KERANJI M32/M,SEKSYEN 32,40640 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
2023-03-03,11136,1,9.4,PASARAYA GRAND UNION BUKIT BERUNTUNG,"NO 1 JALAN KEMUNTING,BANDAR BUKIT BERUNTUNG,48300 RAWANG, SELANGOR",Pasar Raya / Supermarket,Selangor,Hulu Selangor
2023-03-03,11595,1,9.4,PASAR AWAM SALAK,"PEKAN SALAK,43900 SEPANG, SELANGOR,",Pasar Basah ,Selangor,Sepang
2023-03-03,11631,1,9.4,PASAR AWAM KUALA KUBU BHARU,"JALAN DATO MUDA JAAFAR,44000 KUALA KUBU BARU, SELANGOR,",Pasar Basah ,Selangor,Hulu Selangor
2023-03-03,11829,1,9.4,PASAR BUKIT SENTOSA,"JALAN ORKID 2,BUKIT SENTOSA,48000 RAWANG, SELANGOR",Pasar Basah ,Selangor,Hulu Selangor
2023-03-03,13526,1,9.39,GIANT SUPERMARKET SRI MANJA,"NO. 1, JLN PJS 3/61,TAMAN SRI MANJA,46000 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-03,14661,1,9.39,AEON BIG SEKSYEN 23,"SEKSYEN 23,40300 SHAH ALAM, SELANGOR.,",Hypermarket,Selangor,Petaling
2023-03-03,14662,1,9.29,GIANT KEMUNING UTAMA,"NO 3,JALAN KEMUNING PRIMA E33/E KEMUNING UTAMA, SEKSYEN 33,40400 SHAH ALAM, SELANGOR.",Hypermarket,Selangor,Petaling
2023-03-03,14795,1,9.39,GIANT HYPERMARKET KELANA JAYA,"NO 33 JALAN SS6/12,SS6 KELANA JAYA,47301 PETALING JAYA,SELANGOR",Hypermarket,Selangor,Petaling Jaya
2023-03-03,14803,1,8.69,TESCO KUALA SELANGOR,"NO 2, JALAN MEDAN NIAGA,MEDAN NIAGA KUALA SELANGOR,45000 KUALA SELANGOR, SELANGOR.",Hypermarket,Selangor,Kuala Selangor
2023-03-03,15750,1,9.39,AEON BIG PUCHONG UTAMA,"LOT 4029,PERSIARAN PUCHONG UTAMA,47100, PUCHONG, SELANGOR.",Hypermarket,Selangor,Petaling
2023-03-03,15924,1,8.69,TESCO HYPERMARKET PARADIGM MALL,"LOWER GROUND FLOOR PARADIGM MALL,JALAN SS 7/26 SS7,47301 PETALING JAYA, SELANGOR.",Hypermarket,Selangor,Petaling Jaya
2023-03-03,16482,1,9.39,PUSAT PERNIAGAAN MATAHARI SDN BHD,"1, JALAN PJS 2/18,TAMAN MAJU JAYA,46000 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-03,16482,2,10.39,PUSAT PERNIAGAAN MATAHARI SDN BHD,"1, JALAN PJS 2/18,TAMAN MAJU JAYA,46000 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-03,16483,1,9.4,PASAR LEMBAH SUBANG DAMANSARA,"PASAR PAGI LEMBAH SUBANG,TAMAN PUTRA DAMAI,47301 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-03,17168,1,9.3,MEGAH SUPERMARKET (BANTING),"LOT 931,JALAN SUASA,42700 BANTING, SELANGOR",Pasar Raya / Supermarket,Selangor,Kuala Langat
2023-03-03,17788,1,9.4,PASAR BATANG KALI,"JALAN BATANG KALI- HULU YAM,PEKAN BATANG KALI,44300 BATANG KALI, SELANGOR",Pasar Basah ,Selangor,Hulu Selangor
2023-03-03,17906,1,9.39,TF VL MART,"JALAN 6, TAMAN BERKAT,45300 SUNGAI BESAR, SELANGOR,",Pasar Raya / Supermarket,Selangor,Sabak Bernam
2023-03-03,18116,1,9.39,HERO MARKET KELANA JAYA,"119, JALAN SS 6/12,SS6,47301 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-03,18184,1,9.4,SUPER SEVEN CHERAS JAYA,"LOT.10, KAWASAN INDUSTRI JAYA,  JALAN CJ 3,KAWASAN PERINDUSTRIAN CHERAS JAYA, BATU 9,43200 CHERAS, SELANGOR",Pasar Raya / Supermarket,Selangor,Hulu Langat
2023-03-03,18185,1,9.39,ECONSAVE JALAN REKO,"PT 64442, PT 63029, PT63030-PT63051,JALAN REKO,43000 KAJANG, SELANGOR.",Pasar Raya / Supermarket,Selangor,Hulu Langat
2023-03-03,18192,1,9.39,MYDIN MART PADANG JAWA,"JALAN PADANG JAWA,SEKSYEN 16,41300 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Klang
2023-03-03,18193,1,8.69,TESCO EXTRA ARA DAMANSARA,"2, JALAN PJU 1A/3,ARA DAMANSARA,47301 PETALING JAYA, SELANGOR.",Hypermarket,Selangor,Petaling Jaya
2023-03-03,18319,1,9.39,ECONSAVE CASH & CARRY SDN. BHD. (BATANG KALI),"NO 1, LOT PT 6903,JALAN MAHAGONI 8, PEKAN BATANG KALI,44300 BATANG KALI, SELANGOR.",Hypermarket,Selangor,Hulu Selangor
2023-03-03,18328,1,9.4,QRS FRESH MART KKB,"LOT 385 DAN LOT 386,JALAN PAHANG,44000 KUALA KUBU BARU, SELANGOR",Pasar Raya / Supermarket,Selangor,Hulu Selangor
2023-03-03,18337,1,9.39,MYDIN TAMAN ANGGERIK,"LOT 21452, JLN ANGGERIK PERDANA 1,TAMAN ANGGERIK PERDANA,43500 SEMENYIH, SELANGOR",Pasar Raya / Supermarket,Selangor,Hulu Langat
2023-03-03,18347,1,9.39,BEST FRESH MART,"NO. 69,JALAN KILANG PADI,45500 TANJONG KARANG, SELANGOR",Pasar Raya / Supermarket,Selangor,Kuala Selangor
2023-03-03,18350,1,9.3,PASARAYA SEGI FRESH SEMENYIH,"PASARAYA SEGI FRESH SEMENYIH,43500 SEMENYIH, SELANGOR,",Pasar Raya / Supermarket,Selangor,Hulu Langat
2023-03-03,18471,1,9.39,ECONSAVE KIPMALL,"G21 & M19, KIPMALL,KOTA WARISAN,43900 SEPANG, SELANGOR",Pasar Raya / Supermarket,Selangor,Sepang
2023-03-03,18480,1,9.4,SEGI CASH & CARRY SDN BHD (GOMBAK),"NO. 9-G & 10-G, JALAN BATU CAVES,TAMAN BATU CAVES,68100 BATU CAVES, SELANGOR",Pasar Raya / Supermarket,Selangor,Gombak
2023-03-03,20722,1,9.4,PASAR SUNTEX,"JALAN CHERAS,CHERAS,",Pasar Basah ,Selangor,Hulu Langat
2023-03-03,20723,1,9.39,GIANT SUPERSTORE PRIMA SAUJANA,"502, PUSAT BANDAR BARU KAJANG,PRIMA SAUJANA,KAJANG",Hypermarket,Selangor,Hulu Langat
2023-03-03,20723,2,10.4,GIANT SUPERSTORE PRIMA SAUJANA,"502, PUSAT BANDAR BARU KAJANG,PRIMA SAUJANA,KAJANG",Hypermarket,Selangor,Hulu Langat
2023-03-03,20724,1,9.4,PASAR AWAM RASA (RASA MARKET),"KAMPUNG CHUANG,RASA,",Pasar Basah ,Selangor,Hulu Selangor
2023-03-03,20725,1,9.4,BS FRESHMART PETALING JAYA,"JALAN PJS 6/6B, PJS 6,PETALING JAYA,",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-03,20726,1,8.69,LOTUS'S STORES BUKIT BERUNTUNG,"NO.1 JALAN ORKID 1,SEKSYEN BS 1,BANDAR BUKIT SENTOSA",Hypermarket,Selangor,Hulu Selangor
2023-03-03,20727,1,9.4,SEGI CASH & CARRY BUKIT SENTOSA,"NO.7-G, 9-G, 11-G,11A-G, JALAN BUNGA KERTAS 1C,PERNIAGAAN JALAN BUNGA KERTAS,BUKIT SENTOSA",Pasar Raya / Supermarket,Selangor,Hulu Selangor
2023-03-03,20728,1,9.4,SEGI CASH & CARRY TAMAN TANJAK,"NO.7 ,8 ,9 ,10 & 11,JALAN TANJAK, TAMAN TANJAK,KUALA KUBU BHARU",Pasar Raya / Supermarket,Selangor,Hulu Selangor
2023-03-03,20807,1,9.3,PASARAYA MEGAH DENGKIL,"1-11, JALAN PUTRA 2,TAMAN DESA DENGKIL,43800 DENGKIL, SELANGOR.",Pasar Raya / Supermarket,Selangor,Sepang
2023-03-03,20861,1,9.4,STAR GROCER SDN BHD,"NO 2, JALAN 20/16 PARAMOUNT GARDEN,46300 PETALING JAYA,",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-04,183,1,9.39,GIANT SUPERMARKET KELANA JAYA,"JALAN SS 6/3,PUSAT BANDAR KELANA JAYA,47301 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
2023-03-04,330,1,8.69,TESCO SEKSYEN 13,"NO. 3,JALAN AEROBIK 13/43, SEKSYEN 13,40100 SHAH ALAM, SELANGOR",Hypermarket,Selangor,Petaling
2023-03-04,3041,1,9.39,PASARAYA ECONSAVE KAPAR SDN BHD,"14-22,JALAN RAJA MOKHTAR PEKAN KAPAR,44220 KAPAR, SELANGOR",Pasar Raya / Supermarket,Selangor,Klang
2023-03-04,3178,1,9.39,AEON BIG SUBANG JAYA,"NO 3 JALAN SS16/1,47500 SUBANG JAYA, SELANGOR DARUL EHSAN,",Hypermarket,Selangor,Petaling
2023-03-04,3302,1,9.4,PASAR SELAYANG BARU,"PASAR HARIAN SELAYANG BARU,JALAN BESAR SELAYANG BARU,68100 BATU CAVES, SELANGOR.",Pasar Basah ,Selangor,Gombak
2023-03-04,3318,1,9.4,GIANT BATU CAVES,"GCH RETAIL MALAYSIA SDN BHD (667035-P)LOT 10243,JALAN BATU CAVES, BANDAR SELAYANG, DAERAH GOMBAK,68100 SELANGOR",Hypermarket,Selangor,Gombak
2023-03-04,3399,1,9.4,PASAR BESAR JALAN OTHMAN,"JALAN OTHMAN,PJS 4,46000 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-04,3541,1,9.4,PASAR PAGI SRI GOMBAK,"JALAN 1, TAMAN SRI GOMBAK,68100 BATU CAVES, SELANGOR,",Pasar Basah ,Selangor,Gombak
2023-03-04,3558,1,9.4,PASAR AWAM PASIR PENAMBANG,"PEKAN PASIR PENAMBANG,45000 KUALA SELANGOR, SELANGOR,",Pasar Basah ,Selangor,Kuala Selangor
2023-03-04,3575,1,9.4,PASAR AWAM TANJUNG KARANG,"PASAR AWAM TANJUNG KARANG TANJUNG,45500 TANJUNG KARANG, SELANGOR,",Pasar Basah ,Selangor,Kuala Selangor
2023-03-04,3662,1,9.4,PASAR AWAM SG BESAR,"PASAR AWAM SG BESAR,45300 SG BESAR,SELANGOR,SG BESAR,",Pasar Basah ,Selangor,Sabak Bernam
2023-03-04,3692,1,9.4,PASAR SERI SETIA,"JALAN SS9A/1,SG WAY,47300 PETALING JAYA, SELANGOR",Pasar Basah ,Selangor,Petaling Jaya
2023-03-04,3901,1,8.69,LOTUSS STORES,"LOTUSS STORES (MALAYSIA) SDN.BHD. LOT 37820 & 11196,MUKIM KAJANG, SAUJANA IMPIAN,43000 KAJANG, SELANGOR DARUL EHSAN.",Hypermarket,Selangor,Hulu Langat
2023-03-04,3904,1,9.4,AEON BIG KAPAR,"NO. 2, JALAN HARMONI 3,KU3, SUNGAI PINANG,42100 KLANG,SELANGOR DARUL EHSAN",Hypermarket,Selangor,Klang
2023-03-04,3908,1,9.4,PASAR KAMPUNG MELAYU SUBANG,"KAMPUNG MELAYU SUBANG,PERSIARAN LAPANGAN TERBANG SULTAN ABDUL AZIZ SHAH,40000 SUBANG, SELANGOR",Pasar Basah ,Selangor,Petaling
2023-03-04,3909,1,8.69,TESCO SETIA ALAM,"NO. 2 JLN SETIA PRIMA U13/S ,40170 SHAH ALAM, SELANGOR DARUL EHSAN,",Hypermarket,Selangor,Klang
2023-03-04,4069,1,9.4,PASAR  BANGI,"PASAR BASAH BANGI,JALAN 1/1, SEKSYEN 1,43650 BANDAR BARU BANGI, SELANGOR",Pasar Basah ,Selangor,Hulu Langat
2023-03-04,4195,1,9.4,PASAR KAJANG,"PASAR KAJANG,BANDAR KAJANG,43000 KAJANG, SELANGOR",Pasar Basah ,Selangor,Hulu Langat
2023-03-04,4197,1,9.4,PASAR SEMENYIH,"PEKAN SEMENYIH,43500 SEMENYIH, SELANGOR,",Pasar Basah ,Selangor,Hulu Langat
2023-03-04,5179,1,9.39,MYDIN SELAYANG,"NO 10-16, JALAN SU/12,SELAYANG UTAMA,68100 BATU CAVES, SELANGOR.",Hypermarket,Selangor,Gombak
2023-03-04,5257,1,9.4,PASAR SEKSYEN 16,"PASAR SEKSYEN 16,40000 SHAH ALAM, SELANGOR,",Pasar Basah ,Selangor,Petaling
2023-03-04,5274,1,9.39,MYDIN USJ,"LOT 4,5,6,PERSIARAN PERPADUAN USJ 1,47600 SUBANG JAYA, SELANGOR",Hypermarket,Selangor,Petaling
2023-03-04,5414,1,9.39,ECONSAVE KG MELAYU SUBANG,"LOT 3761, JALAN 2D,KG BARU SUBANG,40510 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
2023-03-04,5532,1,9.4,PASAR BESAR PELABUHAN KLANG,"JALAN SUNGAI AUR,KAWASAN 13,42000 PELABUHAN KLANG, SELANGOR",Pasar Basah ,Selangor,Klang
